2026-07-27 01:26:04.441 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.483 seconds (process running for 20.668)
2026-07-27 01:26:12.271 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 26316 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:26:12.274 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:26:16.763 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 5.236 seconds (process running for 5.841)
2026-07-27 01:26:17.126 [tomcat-handler-0] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:32:19.147 [tomcat-handler-8] INFO  c.project.service.ProjektServiceImpl.setProjekt:69 - REQUEST -> POST /api/projekty
2026-07-27 01:32:19.420 [tomcat-handler-8] INFO  c.project.service.ProjektServiceImpl.setProjekt:82 - REQUEST (location) -> GET http://localhost:8080/api/projekty/2
2026-07-27 01:32:19.535 [tomcat-handler-9] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:32:49.746 [tomcat-handler-11] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:37:51.298 [tomcat-handler-19] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:37:57.730 [tomcat-handler-21] INFO  c.project.service.ProjektServiceImpl.getProjekt:39 - REQUEST -> GET /api/projekty/1
2026-07-27 01:38:12.941 [tomcat-handler-24] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:38:15.768 [tomcat-handler-29] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:38:23.680 [tomcat-handler-34] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:38:29.615 [tomcat-handler-36] INFO  c.project.service.ProjektServiceImpl.getProjekt:39 - REQUEST -> GET /api/projekty/1
2026-07-27 01:38:32.799 [tomcat-handler-39] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:38:51.853 [tomcat-handler-45] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:38:53.690 [tomcat-handler-47] INFO  c.project.service.ProjektServiceImpl.getProjekt:39 - REQUEST -> GET /api/projekty/1
2026-07-27 01:38:57.598 [tomcat-handler-50] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 02:15:50.144 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 23856 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:15:50.146 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 02:15:52.021 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.503 seconds (process running for 3.083)
2026-07-27 02:16:51.982 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 6284 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:16:51.984 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 02:16:53.791 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.439 seconds (process running for 2.969)
2026-07-27 02:17:22.021 [tomcat-handler-1] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 02:17:39.630 [tomcat-handler-3] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 02:21:05.290 [tomcat-handler-14] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 02:27:47.414 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 6284 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:27:47.415 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 02:27:47.815 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.443 seconds (process running for 656.994)
2026-07-27 02:28:09.761 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 6284 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:28:09.761 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 02:28:10.048 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.319 seconds (process running for 679.227)
2026-07-27 02:28:47.109 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 13900 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:28:47.111 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
